Job Title,Company,Experience,Key Skills,Location,Description
Machine Learning Engineer,VertexPlus,3 to 7 Yrs," Automation , Web development , Django , Flask , Design patterns , Git , RDBMS , SQL , Unix , Linux , Python programming , AIML projects , Objectoriented concepts , Azure cloud",Jaipur,"Currently we are looking for Python & AI/ML Developer.

Role: Python & AI/ML Developer

Location: Jaipur

Experience: 3+ Years

Roles& Responsibilities:
 Proven-deep-expertise with Python programming for Automation & Web development.
 Experience in working with frameworks like Django, Flask.
 Experience in AI/ ML projects, particularly in optimizing and selection of models that align with the business requirement.
 Object-oriented concepts & design patterns.
 Excellent analytical and problem-solving skills.
 Experience with Git or other version control
 Experience with any RDBMS and strong SQL knowledge
 Working experience with Unix / Linux
 Working experience with Azure cloud
 Communicate directly with onsite and customer.

About VertexPlus:

VertexPlus Technologies Private Limited is a Global Technology Company delivering excellence across different industry verticals. With more than a decade's experience in providing innovative technology solution and service models for business impact  We ensure excellence in Consulting, IT Solutions and Digital Media Services to clients across the globe through carefully crafted strategy and execution approach combining process proficiency, technical expertise and domain knowledge. With a large pool of highly talented professionals, we always value continuous research and innovation to deliver quality solutions and services to fulfill dynamic requirements of clients worldwide. VertexPlus always strives to adapt futuristic approaches and technologies to help transform organizations into agile enterprise. Please visit our website at www.vertexplus.com,"
Senior Python Developer - Flask/Django,HabileLabs Private Limited,5 to 9 Yrs," Python , Django , Flask , RESTful APIs , AWS , Azure , SQL , NoSQL , Git , Microservices architecture",Jaipur,"Job Description

We are seeking an experienced Senior Python Developer to join our dynamic team. The ideal candidate will have a strong background in Python development, with expertise in building scalable, high-performance applications. You will be responsible for designing, developing, and maintaining software solutions, as well as mentoring junior developers and contributing to code :
 Design, develop, and maintain robust Python applications and systems.
 Collaborate with cross-functional teams to define and implement new features.
 Write clean, efficient, and maintainable code following best practices and coding standards.
 Perform code reviews and provide constructive feedback to ensure high-quality deliverables.
 Troubleshoot and resolve complex technical issues and bugs.
 Optimize application performance and scalability.
 Mentor and guide junior developers, fostering a collaborative and productive team environment.
 Stay updated with industry trends and emerging technologies to continuously improve development :
 Bachelor's degree in Computer Science, Engineering, or a related field.
 5+ years of professional experience in Python development.
 Strong proficiency in Python and its frameworks (e.g., Django, Flask).
 Experience with RESTful APIs, microservices architecture, and cloud services (e.g., AWS, Azure).
 Solid understanding of databases (SQL and NoSQL) and data modeling.
 Proficiency in version control systems (e.g., Git).
 Excellent problem-solving skills and the ability to work independently and as part of a team.
 Strong communication skills and the ability to mentor junior developers.

(ref:hirist.tech),"
Full Stack Engineer,Humanli.Ai,0 to 4 Yrs," JavaScript , Python , HTML , CSS , Angular , Django , Flask , MySQL , MongoDB , Apache , Nginx , Machine Learning , React , Nodejs , AI",Jaipur,"Full Stack Developer - Entry Level

Humanli.AI

About Humanli.AI:

Humanli.AI is a pioneering generative AI company experiencing rapid growth and pushing the boundaries of technology to solve tomorrows challenges today. Our cutting-edge solutions impact various industries, making processes smarter and more efficient. As we continue to scale, we are seeking ambitious BTech Computer Science graduates passionate about technology and eager to grow with us.

Job Description:

As a Junior Full Stack Developer at Humanli.AI, you will play a crucial role in building and maintaining our innovative AI-powered applications. This role offers a blend of front-end and back-end development opportunities, allowing you to gain comprehensive experience in full-stack technology stacks. You will collaborate closely with a team of experts to create scalable, efficient, and robust solutions.

Responsibilities:

- Participate in the entire application lifecycle, focusing on coding, debugging, and. testing.

- Collaborate with the team to ideate and develop new features for our AI products.

- Work on both client and server-side code, ensuring high performance and responsiveness.

- Contribute to the design and development of APIs.

- Stay up-to-date with emerging technological trends and apply them to operations and activities.

- Help in maintaining code quality, organization, and automatization.

Qualifications:

- Recent BTech graduate in Computer Science or related field. Final-year Students may apply.

- Strong grasp of fundamental programming languages such as JavaScript and Python.

- Familiarity with front-end technologies (e.g., HTML, CSS, JavaScript, Angular, React) and back-end frameworks (e.g., Node.js, Django, Flask).

- Understanding of database technologies (e.g., MySQL, MongoDB) and web servers (e.g., Apache, Nginx).

- Knowledge of machine learning/AI concepts is a plus.

- Excellent problem-solving skills and willingness to learn new technologies.

- Strong communication and teamwork abilities.

What We Offer:

- Competitive entry-level salary and benefits.

- The opportunity to work on groundbreaking projects in a high-growth industry.

- A dynamic, innovative work environment with a flat hierarchy.

- Comprehensive training and mentorship for professional and personal growth.

- Flexible working hours and the possibility of remote work.

How to Apply:

Ready to embark on a rewarding career journey at the cutting edge of AI technology  Submit your application, including your resume and a brief cover letter explaining why youre a great fit for the role, to hidden_email

Humanli.AI is an equal-opportunity employer. We celebrate diversity and are committed to creating an inclusive environment for all employees. We encourage everyone meeting the job criteria to apply.

Become part of our mission to redefine the future with AI. We look forward to your application,"
Python Developer,PillarPlus,2 to 6 Yrs," Python , Data Structures , Algorithms , Django framework",Jaipur,"Full-time

Writing reusable, testable, and efficient code

Design algorithms, modules and functions in Python

Design and implementation of low-latency, high-availability, and performant applications

Documentation of code, testing of code, peer-to-peer code reviews

Solving exciting challenges in Python using data structures, AI, image processing (depending on your skillset)

Skills And Qualifications

Expert in data structures and algorithms, Python

Good knowledge of Django framework

No barrier of college and branch

Sincerity, will to learn and work in a fast paced start-up culture

If you'd like to interview at PillarPlus, drop an email at hidden_email with your detailed resume and contact details.,"
Python/Django Developer,Rampwin Technologies Pvt. Ltd.,2 to 6 Yrs," Python , Django , NBFC",Jaipur,"We seek a skilled Python developer with at least 3 years of experience to join our dynamic team in Jaipur, Rajasthan. As a Python developer, you will be responsible for developing and implementing high-quality Python-based applications, working closely with our clients to understand their requirements and deliver efficient solutions.

Requirements:
1. One should have hands-on experience in Python with Django
2. Experience with NBFC (Non-Banking Financial Company) is desired.
3. Proven experience as a Python developer, with at least 3 years of experience.

Job Details:
1. It will be an on-site contract-based job.
2. Location: Near Railway Station, Jaipur, Rajasthan
3. Working: 5 days a week

Job Types: Temporary, Freelance
Contract length: 12 months


Location Type:
 In-person

Schedule:
 Day shift
 Fixed shift
 Monday to Friday
 Weekend availability

Ability to commute/relocate:
 Jaipur, Rajasthan: Reliably commute or planning to relocate before starting work (Required)

Education:
 Bachelor's (Preferred)

Experience:
 Python: 2 years (Preferred)
 Django: 2 years (Preferred)

Work Location: In person,"
Senior Software Engineer,Bot Consulting,5 to 9 Yrs," Python , Django , Rust , data structures , AWS , TypeScript , Golang , UNIXlike systems , container runtimes , cloud infrastructure , CICD",Jaipur,"We're Hiring! Senior Software Engineer | Jaipur (Work From Office) 

 Calling All Senior Software Engineers! Join Us in Jaipur! 

Ready to put your skills to work in a role thats challenging, collaborative, and growth-focused  Were hiring a Senior Software Engineer to join us onsite in Jaipur! If youre passionate about creating impact with code and thrive in a dynamic environment, this might be your next big move.

The Ideal You:

 5+ years of experience building, testing, deploying, and maintaining production systems

 Skilled in Python (Django), TypeScript, Golang, Rust, or similar languages

 Strong with UNIX-like systems, container runtimes, cloud infrastructure, data structures, and CI/CD (AWS is preferable)

 An effective communicator (in English) who bridges technical and non-technical ideas with ease

 A continuous learnercurious, adaptable, and ready to take on new challenges
 If you're excited about working in a close-knit, innovative team in Jaipur, this is your chance! Drop a comment or send me a DM to start a conversation. Lets build the future together! 

#hiring #softwareengineer #JaipurJobs #techcareers

 Email: hidden_email,"
Backend Developer - Python/Django,ellementry,2 to 6 Yrs," Python , Django , Javascript , MongoDB , PostgreSQL , MySQL , Docker , Dockercompose",Jaipur,"Responsibilities
 Write clean, well- designed code
 Produce detailed specifications
 Troubleshoot, test and maintain the core product software and databases to ensure strong optimization and functionality
 Contribute in all phases of the development lifecycle
 Follow industry best practices
 Develop and deploy new features to facilitate related procedures and tools if necessary.

Requirements
 Knows best practices for front- end development
 Strong knowledge of Javascript APIs.
 Must have experience in building web applications in Python/Django
 Able to handle multiple databases in Django.
 Knows how to do multiple environments (production/ staging)setup in Django.
 Knows how to set up/deploy Django apps in AWS.
 Knowledge of MongoDB, postgresql mysql
 Familiar with Docker/Docker- compose Skills:- Python, Django and Javascript,"
Python Developer,Data Ingenious Global Limited,3 to 7 Yrs," Python , Flask , Django , TensorFlow , PyTorch , ScikitLearn",Jaipur,"We are hiring for Python Developer for our organization at Data Ingenious Global Limited .

Experience - 3 to 6 years

Job Location - Jaipur

Roles and Responsibilities :

Designing, developing, testing, and implementing advanced machine learning models using Python, TensorFlow, PyTorch, or Scikit-Learn.

Creating data pipelines and preprocessing scripts to ensure high-quality training data for machine learning models.

Developing user interfaces and web applications for AI models using frameworks such as Flask or Django .

Collaborating with cross-functional teams to integrate machine learning models into existing systems.

Debugging and troubleshooting machine learning models, applications, and infrastructure.

Designing and implementing scalable machine learning architectures that can handle large volumes of data and high traffic loads.

If interested , kindly share resume on hidden_email

Job Types: Full-time, Permanent


Schedule:
 Day shift

Education:
 Bachelor's (Preferred)

Experience:
 Python: 1 year (Required)
 total work: 3 years (Required)

Work Location: In person,"
Python Developer (4+ Years),Mobile Programming LLC,4 to 8 Yrs," Software Development , Programming , Databases , Python , Django , Flask , HTML , CSS , JavaScript , BackEnd Web Development , ObjectOriented Programming",Jaipur,"Company Description

Mobile Programming LLC, based in Jaipur, is dedicated to providing ""Economic as well as Efficient"" software solutions with a focus on Digital Transformation. The company specializes in Mobility Solutions, Custom App Development, Cloud Solutions, IoT, AR/VR, Blockchain, AI & ML, Chatbot, and more. Mobile Programming LLC aims to help clients accelerate business processes, achieve optimal productivity, and manage risks.

Role Description

This is a full-time on-site role for a Python Developer (4+ Years) at Mobile Programming LLC in Jaipur. The Python Developer will be responsible for back-end web development, software development, object-oriented programming (OOP), programming, and databases.

Qualifications
 Back-End Web Development and Software Development skills
 Strong grasp of Object-Oriented Programming (OOP) principles
 Proficiency in Programming and Databases
 Experience with Python frameworks like Django or Flask
 Familiarity with front-end technologies such as HTML, CSS, and JavaScript
 Ability to work in a collaborative team environment
 Bachelor's or Master's degree in Computer Science or relevant field
 Excellent problem-solving skills and attention to detail,"
Python Full Stack Developer,Marktine Technology Solutions Pvt Ltd,5 to 9 Yrs," Python , Django , AWS , Kafka , React",Jaipur,"Job Title: Python Fullstack Developer

Experience: 5+ Years

Location: Jaipur

Skills Required:
 Python
 Django
 React

Preferred Skills:
 AWS
 Kafka

Job Description:

We are looking for a highly skilled Python Developer to join our team in Jaipur. As a Python Developer, you will be responsible for developing and maintaining robust Python applications using Django and integrating front-end components using React. You should have a strong understanding of software engineering principles and a passion for writing clean, efficient code.

Responsibilities:
 Design, develop, and maintain backend services and APIs using Python and Django framework.
 Integrate user-facing elements developed by front-end developers with server-side logic.
 Implement security and data protection measures for the applications.
 Collaborate with the team to define and implement innovative solutions for the product direction, visuals, and experience.
 Ensure the performance, quality, and responsiveness. of applications.
 Troubleshoot and debug applications to optimize performance and ensure scalability.
 Stay updated with the latest industry trends and technologies.

Requirements:
 Bachelor's or Master's degree in Computer Science, Engineering, or a related field.
 5+ years of experience in Python development, with expertise in Django framework.
 Proficiency in front-end technologies such as React.
 Strong understanding of server-side templating languages.
 Experience with AWS services and cloud infrastructure is preferred.
 Familiarity with Kafka or other message broker systems is a plus.
 Solid understanding of software development lifecycle (SDLC) and Agile methodologies.
 Excellent problem-solving skills and ability to troubleshoot complex issues.
 Good communication skills and ability to work effectively in a team environment,"
Full Stack Python Developer,360 IT HUB PVT ltd,2 to 6 Yrs," Python , Django , JavaScript , HTML , CSS , RESTful APIs , Communication , React",Jaipur,"Experience - Skilled Fresher -3 years

Job Description: We are looking for a Python Django React Full Stack Developer to join our team. The successful candidate will work on our web application, which is built using Python, Django, and React.

Responsibilities:
 Develop and maintain web applications using Python, Django, and React
 Work with project managers and other developers to ensure that project requirements are met
 Write clean, efficient, and well-documented code
 Participate in code reviews and contribute to the continuous improvement of the development process
 Troubleshoot and debug issues in the application
 Collaborate with other team members to design and implement new features

Requirements:
 At least 2 years of experience in Python, Django, and React development
 Strong knowledge of object-oriented programming principles and design patterns
 Experience with Git and version control systems
 Ability to write clean, efficient, and maintainable code
 Good. understanding of front-end technologies, including HTML, CSS, and JavaScript
 Thorough understanding of React.js and NodeJS and its core principles
 Experience with popular React.js workflows (such as Flux or Redux)
 Strong proficiency in JavaScript, including DOM manipulation and the JavaScript object model
 Familiarity with relational databases and SQL
 Experience with RESTful APIs
 Strong problem-solving and analytical skills
 Excellent communication and collaboration skills
 Ability to work independently and as part of a team
 Bachelor's degree in Computer Science or a related field
 Preferred Qualifications:
 Frappe
 Experience with AWS or other cloud services
 Familiarity with Agile methodologies
 Experience with Redux and other state management libraries
 Knowledge of TypeScript

If you are a motivated and skilled Python Django React Full Stack Developer looking for an exciting opportunity, please submit your resume and cover letter for consideration.

Must Have Skills Sets: Python , Django , Java Script , React JS , HTML , CSS , Rest API , Communication

Job Type: Full-time


Benefits:
 Paid sick time

Schedule:
 Day shift
 Morning shift

Tipe Lokasi:
 In-person

Education:
 Bachelor's (Preferred)

Experience:
 total work: 1 year (Preferred)

Work Location: In person,"
